Ticker,short_name,P/E (TTM),ROA%,value_score,insider_buy%
MATAS.CO,Matas A/S,22.437,3.835,0.171,
TRIFOR.CO,Trifork Group AG,12.280,1.588,0.129,
SAF.PA,SAFRAN,65.487,4.785,0.073,
QQ.L,QINETIQ GROUP PLC ORD 1P,18.217,6.888,0.378,
RNMBY,Rheinmetall AG,92.753,5.966,0.064,
DRS,"Leonardo DRS, Inc.",38.062,4.519,0.119,0.003
HAGHY,HENSOLDT AG,418.429,2.786,0.007,
SAABF,Saab AB,41.766,3.783,0.091,
BCKIY,Babcock International Group Plc,18.562,5.078,0.274,
EADSY,Airbus SE,30.979,2.421,0.078,
BAESY,BAE Systems PLC,22.505,4.433,0.197,
BAH,Booz Allen Hamilton Holding Cor,15.830,11.649,0.736,-0.006
DUAVF,DASSAULT AVIATION,24.569,0.882,0.036,
ETN,"Eaton Corporation, PLC",30.876,7.605,0.246,-0.008
IVSO.ST,INVISIO AB,59.641,20.302,0.340,
NSKFF,Kongsberg Gruppen ASA,49.533,6.656,0.134,
LHX,"L3Harris Technologies, Inc.",26.189,3.940,0.150,-0.001
LDOS,"Leidos Holdings, Inc.",14.112,8.794,0.623,0.079
NOC,Northrop Grumman Corporation,16.287,7.128,0.438,0.074
NVO,Novo Nordisk A/S,28.506,22.408,0.786,
GMAB,Genmab A/S,13.263,10.911,0.823,
GN.CO,GN Store Nord A/S,19.012,3.861,0.203,
